tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,3000,11606956
Pthreads,1,1000000,3000,11492518
Pthreads,1,1000000,3000,11526270
Pthreads,1,1000000,3000,11442083
Pthreads,1,1000000,3000,11287695
Pthreads,1,1000000,3000,11547065
Pthreads,1,1000000,3000,11071523
Pthreads,1,1000000,3000,11347679
Pthreads,1,1000000,3000,11840829
Pthreads,1,1000000,3000,11344835
Pthreads,2,500000,3000,5577285
Pthreads,2,500000,3000,5629658
Pthreads,2,500000,3000,5697798
Pthreads,2,500000,3000,5634147
Pthreads,2,500000,3000,5648300
Pthreads,2,500000,3000,5843477
Pthreads,2,500000,3000,5924356
Pthreads,2,500000,3000,5812390
Pthreads,2,500000,3000,5535020
Pthreads,2,500000,3000,5725518
Pthreads,4,250000,3000,3438164
Pthreads,4,250000,3000,3560160
Pthreads,4,250000,3000,3775698
Pthreads,4,250000,3000,3817594
Pthreads,4,250000,3000,3575701
Pthreads,4,250000,3000,3558190
Pthreads,4,250000,3000,3434398
Pthreads,4,250000,3000,3418327
Pthreads,4,250000,3000,3346934
Pthreads,4,250000,3000,3386650
Pthreads,1,1000000,2000,7368194
Pthreads,1,1000000,2000,7478747
Pthreads,1,1000000,2000,7543762
Pthreads,1,1000000,2000,7594038
Pthreads,1,1000000,2000,7486699
Pthreads,1,1000000,2000,7501153
Pthreads,1,1000000,2000,7424016
Pthreads,1,1000000,2000,7356520
Pthreads,1,1000000,2000,7399252
Pthreads,1,1000000,2000,7441824
Pthreads,2,500000,2000,3759462
Pthreads,2,500000,2000,3720470
Pthreads,2,500000,2000,3999309
Pthreads,2,500000,2000,3762871
Pthreads,2,500000,2000,3792599
Pthreads,2,500000,2000,3786519
Pthreads,2,500000,2000,3779952
Pthreads,2,500000,2000,3718485
Pthreads,2,500000,2000,3854941
Pthreads,2,500000,2000,3819134
Pthreads,4,250000,2000,2392801
Pthreads,4,250000,2000,2388042
Pthreads,4,250000,2000,2438367
Pthreads,4,250000,2000,2308831
Pthreads,4,250000,2000,2503847
Pthreads,4,250000,2000,2400484
Pthreads,4,250000,2000,2346960
Pthreads,4,250000,2000,2298626
Pthreads,4,250000,2000,2535572
Pthreads,4,250000,2000,2241907
